id,loss
4,1493.984704
6,2304.009837
9,11639.65227
12,5887.194665
15,492.7659638
17,1939.281461
21,2737.208649
28,350.3769988
32,2098.74599
43,2946.899861
46,3642.450075
50,1153.457478
54,2038.73142
62,3156.416261
70,3721.661837
71,6306.27676
75,2599.996276
77,2077.158143
81,2700.911623
83,2851.984778
87,2105.607478
97,2532.572141
103,1854.758337
119,1879.043903
120,2564.961961
127,2162.063003
138,4608.331392
141,3305.057214
148,1445.179887
150,3455.652737
151,2704.716571
158,1829.512107
160,6565.718508
165,2832.904735
168,4160.977426
169,3793.696029
177,3285.229384
178,4492.767339
184,1919.630517
194,7068.60176
198,1650.274249
203,5652.564055
211,2601.547131
217,1262.131468
219,1133.928298
221,4540.835764
227,2629.14554
230,835.3563604
235,2333.58763
240,1034.776839
243,3876.745309
249,5400.631922
253,2226.930943
258,669.9962096
261,2274.849534
263,3715.519902
264,3595.152123
265,6300.623864
268,1658.085735
271,1188.758891
274,6531.455847
275,1252.150556
279,2930.682277
282,1299.136404
286,2814.487911
288,1306.005504
294,3686.12906
296,948.1054386
297,988.5496464
300,670.9170204
303,7989.220098
314,465.1087939
315,5437.683611
321,2747.384703
323,5336.885835
330,4944.519753
341,2031.975892
342,5001.397444
352,1273.859499
353,4326.488253
360,7510.967501
361,2176.646244
362,3862.539773
366,836.281104
372,4404.194711
376,3669.68467
377,2533.950818
379,1059.495231
380,4472.805765
387,1309.075051
392,1868.906486
394,9640.402695
395,2187.918968
397,1305.494867
407,4470.367235
411,7680.670156
416,3262.656901
417,1502.046868
419,3548.722069
428,6042.340455
431,2835.439044
436,5861.570351
438,1990.645117
445,6297.205622
446,6186.15356
455,1144.343535
456,993.5902894
461,1134.315785
463,1507.741989
464,4761.532037
466,1815.000481
467,2674.550975
470,2068.719371
475,1761.823288
482,3494.597074
490,3252.979201
496,2611.948071
497,5017.273922
508,3736.35079
510,2894.629095
512,3637.742304
513,3476.268265
523,2243.528899
531,5117.772632
532,2939.26805
533,1488.79197
537,1485.639908
544,5276.231146
547,4272.173987
556,7609.627733
565,1533.591958
566,1632.599822
571,914.0197575
573,2349.682887
574,761.3025959
581,3370.983327
585,2745.525932
589,3025.588565
597,2148.983436
601,2888.389753
602,2807.957373
613,2128.574347
616,1766.524412
619,1742.652453
622,2780.660037
623,2563.073059
629,2033.427659
634,1406.508212
638,214.2926018
642,1391.347579
643,3413.242745
645,740.4186263
648,6457.89128
652,2083.57184
664,550.6478827
666,2686.381623
672,661.2720893
676,2514.91585
678,4872.096161
682,1726.832776
686,4249.808412
688,3795.573145
689,2041.325575
