id,loss
4,1552.857473
6,1910.440019
9,11427.09168
12,8720.721611
15,689.9704757
17,2164.227306
21,2309.012946
28,403.7601247
32,2674.755485
43,3865.621688
46,2723.368567
50,829.3413125
54,1493.998923
62,2334.54034
70,2480.960237
71,6266.658078
75,2290.203066
77,2321.804631
81,2694.35693
83,2318.438876
87,1993.498265
97,2234.379785
103,1351.358117
119,1491.672811
120,1764.711851
127,1125.85026
138,5707.276678
141,2986.032396
148,1197.426861
150,2819.00981
151,2332.151587
158,1629.230327
160,7093.877895
165,2622.390987
168,3975.908287
169,4635.642988
177,3298.998496
178,3959.311107
184,2251.999752
194,8828.97759
198,1829.187842
203,4512.499062
211,2584.853568
217,1176.581292
219,1147.92223
221,6105.556648
227,1829.784657
230,1478.564191
235,2059.802369
240,572.2842998
243,3208.466145
249,7608.889437
253,3036.225026
258,1347.757516
261,1973.345627
263,3621.43159
264,3406.582847
265,4705.842947
268,1916.645046
271,1112.913609
274,6559.625236
275,475.2130915
279,1963.359007
282,1635.763761
286,3315.927664
288,1589.951471
294,2950.793622
296,1186.511018
297,1956.31298
300,631.2964256
303,12610.38904
314,1529.174516
315,5168.044002
321,2602.354419
323,4697.251138
330,3641.427722
341,2168.57012
342,4605.554163
352,1790.749756
353,4621.733989
360,8464.375604
361,2503.985862
362,4240.709235
366,1160.590479
372,3518.125185
376,2746.717766
377,2206.19882
379,1680.839748
380,4511.980142
387,2220.193848
392,2050.406307
394,11609.3947
395,1954.443885
397,1565.952734
407,6944.46406
411,10568.19386
416,2987.555979
417,1723.426849
419,3493.167975
428,6747.757269
431,1834.194512
436,9353.336176
438,1432.753938
445,6755.770077
446,7824.06195
455,1819.865047
456,1404.316231
461,818.0618
463,1693.791064
464,3876.811509
466,1750.178843
467,1781.899829
470,1068.575843
475,1500.321522
482,4367.727406
490,3686.997794
496,2144.500154
497,4998.512016
508,3237.99691
510,2026.283087
512,2045.046433
513,4043.234791
523,2224.692526
531,5392.714475
532,3351.398175
533,1267.26797
537,1166.482321
544,4983.013716
547,3868.718879
556,8754.278549
565,1546.082293
566,1511.232175
571,1451.744892
573,2092.262613
574,719.8827266
581,2277.595498
585,2458.430056
589,2352.928189
597,1842.905458
601,4109.286483
602,2064.438467
613,2014.120917
616,1636.735632
619,1725.859256
622,2464.48807
623,2383.591368
629,1767.155619
634,1616.135412
638,545.9989401
642,986.3804218
643,2432.167414
645,984.9654297
648,8393.002676
652,1653.989106
664,913.4179976
666,2739.56141
672,715.4151129
676,2730.98081
678,4260.50959
682,1887.645519
686,3230.773566
688,2322.078862
689,1267.020368
690,1732.042073
