ID,PredictedProb
0,0.417735991
1,0.941739882
2,0.684406417
7,0.599484863
10,0.626499944
11,0.59201304
13,0.906728128
14,0.423554812
15,0.873663398
16,0.849983611
17,0.638881956
18,0.91976188
19,0.928593131
20,0.790790593
25,0.832302705
26,0.861146084
29,0.811447983
38,0.930729383
41,0.895473934
44,0.682451504
45,0.414938272
47,0.623772134
48,0.803561883
49,0.773284365
50,0.881629237
53,0.421604788
56,0.590180334
59,0.870088468
60,0.656595954
64,0.799819102
65,0.934711213
66,0.880134092
68,0.839197153
69,0.611391677
70,0.856653552
71,0.773008708
72,0.617087429
76,0.750452975
80,0.806541544
82,0.871874427
83,0.91944041
85,0.868961455
86,0.880050602
87,0.663497365
89,0.749216295
97,0.882589867
99,0.652386638
101,0.737602827
102,0.433836909
103,0.429014437
104,0.425294434
106,0.909347829
107,0.412558023
109,0.900873339
111,0.412323188
113,0.871668138
114,0.416814152
118,0.924509249
119,0.629804236
120,0.906689975
123,0.676709729
128,0.432575474
129,0.867791352
131,0.927846348
133,0.618170263
134,0.910030791
136,0.936591982
137,0.64453656
139,0.69375879
140,0.754492616
142,0.641275338
144,0.761475473
146,0.883918136
147,0.690346031
148,0.901547918
150,0.430124463
151,0.422464001
152,0.944173431
155,0.934988933
158,0.852414668
159,0.612455998
160,0.938511307
161,0.690416041
165,0.922877605
166,0.639187458
170,0.945466614
171,0.686297108
174,0.714322616
175,0.76403708
179,0.654647797
180,0.922037719
181,0.916240463
184,0.605535642
185,0.692650639
187,0.820178234
188,0.898846081
190,0.794254946
191,0.704325859
192,0.659404663
193,0.846832937
196,0.794640668
197,0.588461921
198,0.602862309
205,0.434330239
211,0.826753516
213,0.700342638
214,0.837691996
217,0.713798874
218,0.818229652
221,0.723574747
222,0.607614526
225,0.751732113
229,0.779655378
236,0.641097976
237,0.908482588
238,0.818109896
239,0.93126222
242,0.631725641
245,0.895716718
246,0.707086966
247,0.91175743
248,0.950597043
254,0.716326191
255,0.418839724
257,0.942975492
259,0.691172348
264,0.933407773
270,0.625812459
272,0.660494212
274,0.711084199
275,0.647217756
278,0.872421723
280,0.430999492
281,0.594123118
282,0.422724946
283,0.867410074
284,0.94067913
286,0.895192885
287,0.866189258
288,0.923220262
289,0.879618121
290,0.423518813
291,0.878396032
294,0.601075731
295,0.435169398
297,0.593062302
299,0.725173417
305,0.91017053
307,0.589603783
308,0.652267446
313,0.689092831
314,0.688902468
315,0.871779258
316,0.906538198
317,0.760305568
319,0.605496279
322,0.652255675
323,0.931057473
324,0.663481628
326,0.887629551
327,0.427015196
329,0.944931383
330,0.444797753
331,0.607500131
336,0.59939623
337,0.63853422
338,0.852357976
340,0.927227182
345,0.428448768
347,0.873173616
348,0.741067297
350,0.937302953
352,0.674399063
356,0.932101258
357,0.915025778
358,0.924568375
359,0.814215071
361,0.765334226
363,0.627637607
364,0.718933256
368,0.849122207
376,0.934209604
378,0.719815667
382,0.793561727
384,0.45064421
385,0.934598062
388,0.600089972
389,0.935402195
391,0.784060621
392,0.689835795
395,0.726034446
396,0.913092501
397,0.861618528
399,0.759695714
404,0.942012896
407,0.603799856
409,0.755070501
410,0.739699973
413,0.768414392
414,0.642532513
416,0.825602728
418,0.744495199
419,0.78225796
420,0.911404852
422,0.93141386
423,0.777340524
427,0.620757198
429,0.947677689
430,0.590307322
431,0.748066758
432,0.626906317
433,0.910704896
434,0.455501514
436,0.683907686
437,0.874924661
451,0.623515384
452,0.730886246
454,0.751540731
457,0.879044405
458,0.874555071
460,0.726780547
461,0.907513362
462,0.692745886
463,0.85302034
465,0.930722655
467,0.815678087
473,0.783119217
474,0.94738847
480,0.441430781
481,0.842165925
483,0.825782211
484,0.614114945
485,0.435223013
487,0.8413147
490,0.902138926
491,0.778068702
492,0.599909768
496,0.649862098
497,0.791437568
498,0.61548952
499,0.671565912
501,0.685868026
502,0.876071312
503,0.852571065
506,0.918581765
507,0.745345058
508,0.600905162
509,0.673209329
510,0.80958965
511,0.705163863
513,0.776024153
515,0.922822642
521,0.462063523
522,0.705766815
523,0.786483376
525,0.658171698
529,0.773538556
530,0.658107338
531,0.699973658
533,0.694099338
534,0.636106876
535,0.911337965
537,0.626151691
541,0.648594288
542,0.72443259
543,0.711512256
544,0.837539569
545,0.417670133
549,0.931225668
550,0.818792122
551,0.747613156
553,0.620003028
556,0.820341413
558,0.606832714
560,0.907397476
563,0.44211432
564,0.928346173
567,0.422597379
572,0.590666029
573,0.936166989
577,0.835442744
583,0.87849534
584,0.709881318
585,0.87255316
586,0.77976263
588,0.798595807
590,0.719559377
591,0.652416731
593,0.933536023
594,0.828229799
597,0.825201778
598,0.671695174
599,0.931266321
603,0.714734962
604,0.621409031
606,0.943388302
607,0.866455332
609,0.680057864
614,0.876423686
615,0.86986418
616,0.601837795
617,0.875090535
618,0.861684908
619,0.839190476
620,0.933460319
623,0.654819469
625,0.79713907
626,0.919878029
627,0.896048929
632,0.881185909
633,0.610798365
634,0.808543803
635,0.638325545
636,0.858625682
637,0.926472876
638,0.765449044
639,0.924980416
642,0.595771592
643,0.86257035
644,0.931918281
645,0.748146707
646,0.760466456
650,0.931799108
653,0.59793194
654,0.43795801
655,0.640243376
656,0.823955797
657,0.802101086
658,0.604510402
660,0.601730006
661,0.7890882
668,0.932031744
669,0.668429123
671,0.911208846
672,0.635724968
676,0.929288784
678,0.896884229
680,0.810912381
682,0.939267748
684,0.907586872
685,0.824543009
686,0.616583987
687,0.589875772
694,0.431255159
696,0.643251782
697,0.682539889
699,0.639858926
702,0.939037348
707,0.763893857
708,0.94282472
712,0.937333432
717,0.933147283
718,0.934681805
720,0.425110827
721,0.881020446
723,0.706483376
724,0.703898242
727,0.428743349
728,0.438438357
731,0.83533214
733,0.833592973
735,0.937844993
737,0.698939772
738,0.698144204
740,0.613583451
742,0.94165783
743,0.647214227
745,0.635117272
