-1	-1	-1	-1	-1	71.5
1	1	-1	-1	-1	76
1	-1	1	-1	-1	79.9
1	-1	-1	1	-1	83.5
1	-1	-1	-1	1	89.5
-1	1	1	-1	-1	84.2
-1	1	-1	1	-1	85.7
-1	1	-1	-1	1	94.5
-1	-1	1	1	-1	89.4
-1	-1	1	-1	1	97.5
-1	-1	-1	1	1	103.2
1	1	1	1	-1	108.7
1	1	1	-1	1	115.2
1	1	0	1	1	111.5
1	-1	0	1	1	1023
-1	1	0	1	1	108.1
-2	0	0	0	0	80.2
2	0	-2	0	0	84.1
0	-2	2	0	0	77.2
0	-2	0	0	0	85.1
0	0	0	0	0	71.5
0	0	0	0	0	84.5
0	0	0	-2	0	77.5
0	0	0	2	-2	79.2
0	0	0	0	2	71
0	0	0	0	0	90.2
0	0	0	0	0	72.1
0	0	0	0	0	72
0	0	0	0	0	72.4
0	0	0	0	0	71.7
0	0	0	0	0	72.8
