x1	x2	x3	x4	x5	x6	x7	x8
-1.034642257	-0.314894991	-1.770680654	-0.981130257	-0.305698158	-1.148355467	0.017250864	0.607179519
0.939217589	1.688812167	1.499788142	1.481662073	0.620672039	0.563024484	-0.317802454	0.29538071
-0.626335132	0.306152102	-1.309640643	-0.852969315	0.475006479	-0.975191786	-0.234142765	0.781382327
0.71348049	0.060970902	-0.076621736	0.580182467	0.749119129	-0.690259006	0.032098001	0.337138005
1.561620831	0.379228141	0.912557501	1.289447669	-0.192852455	1.38598327	1.824518527	1.211199012
0.271074693	0.431728862	0.346655699	0.026016962	0.431758719	1.325826635	-0.646060622	-0.015716038
-0.177723019	-0.053726871	-0.278929714	0.088972146	2.153680145	2.276674805	1.996268364	1.39207511
0.360331031	-1.353826956	-0.612365271	-0.322400956	-1.446790616	-0.351673723	0.330629757	0.119489265
-3.375832817	-1.66099031	-2.409850587	-1.52282594	-0.03506563	-0.290674843	-0.857425731	-1.477172154
0.196603688	-0.347699202	0.197339681	0.11867977	-2.147667813	-1.716884157	-0.514812967	-0.17398097
-0.055666779	0.112388708	0.11312048	0.535180551	-1.765679629	-1.672093123	-0.081915807	0.292593609
0.200282562	-0.607117191	-0.091574763	-0.289074639	1.547786216	1.748596788	1.337551418	0.779527246
-0.359446453	0.066131453	0.353072768	-0.238058867	-1.078024288	-0.941327629	-1.273602706	-0.609654581
0.037048913	-0.987507977	0.217532125	1.049921289	-0.442199784	0.248548938	0.40516615	-1.040875996
0.107767857	-0.31293112	0.044255165	0.517659978	-0.739509732	-0.291652182	-0.618853866	-0.669899595
0.307548429	3.510581978	2.66468688	1.753950842	0.245700967	-0.590312576	0.297602447	-0.917123179
1.451405372	0.626412384	0.513982043	0.053893285	0.409701328	-0.320373884	0.445490051	0.488356277
0.192350732	0.844263436	0.124311536	1.094744414	1.044985718	-0.340646705	0.85730867	0.685804405
0.046929012	-0.583868218	-0.685412684	0.173607853	0.585685456	0.690700834	0.347861962	0.328167061
0.029515834	-0.420632282	-0.446260502	-0.689813363	2.470898979	-0.579404486	-0.354125948	-0.705091384
-0.585165742	-1.232308325	-0.720529007	-1.25630758	0.636251809	0.911136674	-0.105026369	0.73457858
1.599794345	1.759903345	1.87422886	0.791881341	0.378300673	2.070927569	0.111315634	-0.516088467
1.506275619	-0.141094478	0.590162642	1.128585394	-0.781442538	-0.604505176	1.039275556	-0.756405266
-0.178923894	0.605491934	-0.357281022	-0.678756595	0.83264802	0.750921936	0.412591293	-0.168315383
0.616360232	-0.422724787	0.553253695	-0.275994393	1.171843869	2.418205973	-0.06255783	-0.99531088
0.678528945	1.033149387	-0.053434365	0.60770117	0.070375971	0.589037978	0.702265553	1.193421331
